average_utilization,elapsed_time(s),,,
26.48%,0.413,,,
33.45%,0.369,,,
33.45%,0.378,,,
31.24%,0.379,,,
31.24%,0.397,,,
33.45%,0.379,,,
33.45%,0.343,,,
30.44%,0.383,,,
27.61%,0.372,,,
27.22%,0.393,,,
23.85%,0.447,,,
30.44%,0.374,,,
30.44%,0.354,,,
33.45%,0.356,,,
31.24%,0.394,,,
28.24%,0.405,,,
33.45%,0.367,,,
31.24%,0.38,,,
33.45%,0.375,,,
23.85%,0.416,,,
27.61%,0.406,,,
31.84%,0.365,,,
31.24%,0.391,,,
27.61%,0.396,,,
31.24%,0.382,,,
31.24%,0.366,,,
25.60%,0.389,,,
33.45%,0.375,,,
27.61%,0.403,,,
31.24%,0.366,,,
31.24%,0.375,,,
31.22%,0.382,,,
33.45%,0.357,,,
26.89%,0.396,,,
33.45%,0.364,,,
25.60%,0.398,,,
25.04%,0.43,,,
31.84%,0.352,,,
25.60%,0.445,,,
30.44%,0.411,,,
33.45%,0.369,,,
31.24%,0.386,,,
33.45%,0.378,,,
31.24%,0.393,,,
31.24%,0.435,,,
33.45%,0.357,,,
32.90%,0.342,,,
27.61%,0.412,,,
27.61%,0.396,,,
33.45%,0.356,,,
31.24%,0.415,,,
31.84%,0.354,,,
31.84%,0.373,,,
23.85%,0.442,,,
31.24%,0.393,,,
31.24%,0.389,,,
31.24%,0.369,,,
33.13%,0.365,,,
31.24%,0.387,,,
31.24%,0.397,,,
31.84%,0.351,,,
30.44%,0.414,,,
22.12%,0.411,,,
27.61%,0.389,,,
25.60%,0.428,,,
33.45%,0.381,,,
30.44%,0.397,,,
33.13%,0.382,,,
31.24%,0.353,,,
33.45%,0.357,,,
28.01%,0.381,,,
27.61%,0.392,,,
33.45%,0.359,,,
22.47%,0.395,,,
31.24%,0.384,,,
31.84%,0.358,,,
33.45%,0.36,,,
23.85%,0.415,,,
33.45%,0.35,,,
33.45%,0.408,,,
33.45%,0.391,,,
27.61%,0.415,,,
33.45%,0.355,,,
25.60%,0.444,,,
31.24%,0.386,,,
31.84%,0.385,,,
31.24%,0.391,,,
30.44%,0.357,,,
33.45%,0.416,,,
31.24%,0.373,,,
28.01%,0.411,,,
25.11%,0.397,,,
23.85%,0.428,,,
31.84%,0.362,,,
31.24%,0.426,,,
28.01%,0.416,,,
22.47%,0.445,,,
28.01%,0.362,,,
25.60%,0.375,,,
33.45%,0.341,,,
33.45%,0.37,,,
27.61%,0.405,,,
30.44%,0.392,,,
33.45%,0.37,,,
27.61%,0.384,,,
27.61%,0.398,,,
32.27%,0.434,,,
33.13%,0.385,,,
27.61%,0.404,,,
33.45%,0.357,,,
27.61%,0.441,,,
31.24%,0.382,,,
26.33%,0.405,,,
33.45%,0.374,,,
33.45%,0.39,,,
26.33%,0.424,,,
31.24%,0.416,,,
33.45%,0.402,,,
26.48%,0.515,,,
33.13%,0.376,,,
22.12%,0.436,,,
25.60%,0.394,,,
30.44%,0.36,,,
33.45%,0.353,,,
33.45%,0.398,,,
33.13%,0.424,,,
28.94%,0.366,,,
30.44%,0.421,,,
25.60%,0.381,,,
30.44%,0.372,,,
31.24%,0.374,,,
33.45%,0.367,,,
28.94%,0.386,,,
33.45%,0.408,,,
22.47%,0.462,,,
30.44%,0.388,,,
28.94%,0.385,,,
28.94%,0.38,,,
31.24%,0.406,,,
23.85%,0.396,,,
27.61%,0.408,,,
25.60%,0.434,,,
30.44%,0.446,,,
30.49%,0.368,,,
28.01%,0.386,,,
27.61%,0.45,,,
33.45%,0.403,,,
31.24%,0.39,,,
27.61%,0.4,,,
31.24%,0.381,,,
30.44%,0.397,,,
26.48%,0.387,,,
31.24%,0.372,,,
31.84%,0.349,,,
33.45%,0.368,,,
33.45%,0.387,,,
23.85%,0.408,,,
33.45%,0.399,,,
31.84%,0.354,,,
29.34%,0.396,,,
28.01%,0.354,,,
25.60%,0.448,,,
25.60%,0.438,,,
26.48%,0.428,,,
28.94%,0.375,,,
31.84%,0.353,,,
33.45%,0.333,,,
33.45%,0.385,,,
26.48%,0.387,,,
31.24%,0.35,,,
22.47%,0.378,,,
22.47%,0.381,,,
33.45%,0.331,,,
27.27%,0.358,,,
33.45%,0.353,,,
33.13%,0.368,,,
28.94%,0.362,,,
31.24%,0.344,,,
30.91%,0.36,,,
31.84%,0.336,,,
26.48%,0.411,,,
33.13%,0.387,,,
31.24%,0.368,,,
30.44%,0.361,,,
31.24%,0.378,,,
23.85%,0.438,,,
30.44%,0.382,,,
33.45%,0.34,,,
32.27%,0.382,,,
33.45%,0.349,,,
28.94%,0.361,,,
25.19%,0.359,,,
22.47%,0.429,,,
28.94%,0.384,,,
33.45%,0.351,,,
28.01%,0.371,,,
28.94%,0.36,,,
31.24%,0.362,,,
33.45%,0.379,,,
33.13%,0.418,,,
23.85%,0.457,,,
27.61%,0.379,,,
33.45%,0.333,,,
32.27%,0.391,,,
23.85%,0.44,,,
33.13%,0.499,,,
25.60%,0.479,,,
33.13%,0.408,,,
33.45%,0.39,,,
28.94%,0.395,,,
30.44%,0.401,,,
30.44%,0.391,,,
31.84%,0.335,,,
31.24%,0.407,,,
31.24%,0.426,,,
33.45%,0.355,,,
31.24%,0.367,,,
33.45%,0.354,,,
31.24%,0.506,,,
25.60%,0.389,,,
23.39%,0.457,,,
23.85%,0.432,,,
31.24%,0.385,,,
25.60%,0.391,,,
33.45%,0.349,,,
27.61%,0.394,,,
26.48%,0.473,,,
22.47%,0.466,,,
33.45%,0.388,,,
25.60%,0.434,,,
31.24%,0.409,,,
33.13%,0.442,,,
33.45%,0.351,,,
23.85%,0.412,,,
28.01%,0.386,,,
25.60%,0.4,,,
31.24%,0.423,,,
30.44%,0.407,,,
25.60%,0.478,,,
30.44%,0.35,,,
33.45%,0.374,,,
28.01%,0.391,,,
26.48%,0.394,,,
25.60%,0.411,,,
30.44%,0.367,,,
33.45%,0.378,,,
33.45%,0.356,,,
33.45%,0.349,,,
31.24%,0.386,,,
31.84%,0.359,,,
32.90%,0.37,,,
28.01%,0.392,,,
33.45%,0.384,,,
27.61%,0.44,,,
31.24%,0.438,,,
33.45%,0.417,,,
23.85%,0.42,,,
31.84%,0.366,,,
33.45%,0.372,,,
33.45%,0.393,,,
33.45%,0.391,,,
28.01%,0.398,,,
23.13%,0.455,,,
23.85%,0.425,,,
33.45%,0.391,,,
31.24%,0.383,,,
33.45%,0.394,,,
25.60%,0.432,,,
25.60%,0.463,,,
26.48%,0.428,,,
23.85%,0.425,,,
33.45%,0.376,,,
33.13%,0.435,,,
33.13%,0.422,,,
27.61%,0.447,,,
27.61%,0.502,,,
31.24%,0.419,,,
30.44%,0.411,,,
28.01%,0.492,,,
28.01%,0.374,,,
33.13%,0.388,,,
31.24%,0.402,,,
31.24%,0.428,,,
31.84%,0.377,,,
25.60%,0.47,,,
22.47%,0.414,,,
33.13%,0.38,,,
27.61%,0.507,,,
33.45%,0.38,,,
25.60%,0.453,,,
30.44%,0.43,,,
31.24%,0.399,,,
26.48%,0.403,,,
30.44%,0.4,,,
30.44%,0.397,,,
22.47%,0.422,,,
27.61%,0.453,,,
33.45%,0.416,,,
33.70%,0.395,,,
27.61%,0.393,,,
27.61%,0.396,,,
28.01%,0.393,,,
27.61%,0.446,,,
22.47%,0.454,,,
33.45%,0.357,,,
31.24%,0.418,,,
25.60%,0.516,,,
31.84%,0.391,,,
25.60%,0.426,,,
30.44%,0.398,,,
31.24%,0.392,,,
28.01%,0.374,,,
33.45%,0.432,,,
33.45%,0.41,,,
33.45%,0.443,,,
31.24%,0.396,,,
28.01%,0.411,,,
31.84%,0.401,,,
33.45%,0.392,,,
22.47%,0.469,,,
28.01%,0.442,,,
33.45%,0.365,,,
31.24%,0.497,,,
31.84%,0.36,,,
28.94%,0.374,,,
28.94%,0.394,,,
33.45%,0.389,,,
31.84%,0.352,,,
28.01%,0.394,,,
25.60%,0.534,,,
27.61%,0.399,,,
31.24%,0.36,,,
28.01%,0.361,,,
33.13%,0.39,,,
28.94%,0.382,,,
26.10%,0.4,,,
30.44%,0.386,,,
24.54%,0.395,,,
31.24%,0.382,,,
33.45%,0.384,,,
33.45%,0.356,,,
31.24%,0.453,,,
30.44%,0.356,,,
33.45%,0.365,,,
28.01%,0.402,,,
30.44%,0.371,,,
27.61%,0.428,,,
27.61%,0.417,,,
28.01%,0.385,,,
31.24%,0.429,,,
30.44%,0.413,,,
33.13%,0.432,,,
25.60%,0.452,,,
27.61%,0.426,,,
33.45%,0.41,,,
33.45%,0.415,,,
30.44%,0.422,,,
33.45%,0.39,,,
33.45%,0.433,,,
26.48%,0.433,,,
31.24%,0.405,,,
31.24%,0.437,,,
27.61%,0.435,,,
30.44%,0.452,,,
28.01%,0.385,,,
33.45%,0.42,,,
28.01%,0.4,,,
28.94%,0.401,,,
31.24%,0.405,,,
31.24%,0.421,,,
25.60%,0.406,,,
31.24%,0.385,,,
25.60%,0.393,,,
31.84%,0.363,,,
33.13%,0.409,,,
30.44%,0.385,,,
33.45%,0.394,,,
22.47%,0.474,,,
25.19%,0.408,,,
30.44%,0.404,,,
33.45%,0.373,,,
31.24%,0.4,,,
33.13%,0.401,,,
30.44%,0.404,,,
33.45%,0.365,,,
31.24%,0.396,,,
25.60%,0.453,,,
22.47%,0.471,,,
33.45%,0.4,,,
26.48%,0.427,,,
30.44%,0.381,,,
31.84%,0.364,,,
26.89%,0.379,,,
31.84%,0.354,,,
33.45%,0.364,,,
31.24%,0.369,,,
25.60%,0.412,,,
22.47%,0.429,,,
30.44%,0.388,,,
26.35%,0.376,,,
31.24%,0.412,,,
33.45%,0.35,,,
27.61%,0.398,,,
28.94%,0.375,,,
30.44%,0.352,,,
33.45%,0.353,,,
31.24%,0.385,,,
33.13%,0.405,,,
22.12%,0.416,,,
31.24%,0.396,,,
28.94%,0.442,,,
33.45%,0.404,,,
32.27%,0.458,,,
31.24%,0.408,,,
31.24%,0.4,,,
33.45%,0.394,,,
30.10%,0.393,,,
28.94%,0.39,,,
33.45%,0.367,,,
27.61%,0.414,,,
27.61%,0.418,,,
31.24%,0.555,,,
33.45%,0.365,,,
33.45%,0.356,,,
23.85%,0.451,,,
27.61%,0.42,,,
27.61%,0.406,,,
33.45%,0.384,,,
26.35%,0.387,,,
31.84%,0.415,,,
31.24%,0.466,,,
33.45%,0.386,,,
33.45%,0.402,,,
27.61%,0.425,,,
26.48%,0.451,,,
31.24%,0.409,,,
31.84%,0.392,,,
31.24%,0.383,,,
22.47%,0.465,,,
30.44%,0.397,,,
33.45%,0.378,,,
22.47%,0.45,,,
30.44%,0.447,,,
26.33%,0.431,,,
23.85%,0.421,,,
23.85%,0.422,,,
30.44%,0.403,,,
28.01%,0.398,,,
33.45%,0.426,,,
32.90%,0.384,,,
25.60%,0.466,,,
30.44%,0.412,,,
33.45%,0.432,,,
31.24%,0.425,,,
33.13%,0.42,,,
28.94%,0.399,,,
28.01%,0.405,,,
25.60%,0.466,,,
28.01%,0.402,,,
30.44%,0.408,,,
33.45%,0.393,,,
31.84%,0.414,,,
33.45%,0.44,,,
33.45%,0.371,,,
31.24%,0.388,,,
28.94%,0.377,,,
25.80%,0.496,,,
27.61%,0.415,,,
33.45%,0.361,,,
30.44%,0.409,,,
33.13%,0.424,,,
31.24%,0.419,,,
28.01%,0.524,,,
22.47%,0.538,,,
28.01%,0.421,,,
33.45%,0.406,,,
26.35%,0.394,,,
30.44%,0.407,,,
23.85%,0.459,,,
33.45%,0.397,,,
33.45%,0.38,,,
25.11%,0.384,,,
28.94%,0.424,,,
31.24%,0.447,,,
31.24%,0.383,,,
33.45%,0.361,,,
33.45%,0.363,,,
33.13%,0.405,,,
33.45%,0.389,,,
31.24%,0.406,,,
31.24%,0.367,,,
31.24%,0.446,,,
28.01%,0.428,,,
31.84%,0.351,,,
31.24%,0.424,,,
33.13%,0.43,,,
31.84%,0.354,,,
26.48%,0.463,,,
33.45%,0.418,,,
31.24%,0.386,,,
26.35%,0.451,,,
33.45%,0.398,,,
26.33%,0.405,,,
30.44%,0.386,,,
31.24%,0.47,,,
23.85%,0.502,,,
33.13%,0.387,,,
27.61%,0.425,,,
31.24%,0.385,,,
30.44%,0.409,,,
30.44%,0.43,,,
33.45%,0.406,,,
22.12%,0.458,,,
28.94%,0.378,,,
33.45%,0.383,,,
26.89%,0.405,,,
30.44%,0.419,,,
33.45%,0.364,,,
22.47%,0.446,,,
29.28%,0.4,,,
30.44%,0.426,,,
33.45%,0.365,,,
31.24%,0.39,,,
26.70%,0.411,,,
31.24%,0.387,,,
28.94%,0.376,,,
28.94%,0.412,,,
26.89%,0.398,,,
31.24%,0.396,,,
33.45%,0.368,,,
31.24%,0.406,,,
25.60%,0.384,,,
25.60%,0.48,,,
31.24%,0.358,,,
31.24%,0.379,,,
33.45%,0.356,,,
31.84%,0.36,,,
33.13%,0.401,,,
31.24%,0.399,,,
22.47%,0.467,,,
31.24%,0.41,,,
28.94%,0.382,,,
33.45%,0.381,,,
31.84%,0.361,,,
28.94%,0.393,,,
30.44%,0.413,,,
31.24%,0.395,,,
33.45%,0.363,,,
23.85%,0.444,,,
25.11%,0.42,,,
31.22%,0.339,,,
33.13%,0.406,,,
25.60%,0.456,,,
31.22%,0.349,,,
33.45%,0.377,,,
26.35%,0.38,,,
30.44%,0.401,,,
29.26%,0.389,,,
33.13%,0.4,,,
27.61%,0.403,,,
28.01%,0.397,,,
25.60%,0.403,,,
31.84%,0.361,,,
31.24%,0.397,,,
23.85%,0.441,,,
31.24%,0.415,,,
25.60%,0.396,,,
26.33%,0.365,,,
33.13%,0.403,,,
25.60%,0.431,,,
33.45%,0.351,,,
25.60%,0.402,,,
31.84%,0.327,,,
26.48%,0.399,,,
33.13%,0.387,,,
33.13%,0.386,,,
25.60%,0.502,,,
31.24%,0.38,,,
33.45%,0.364,,,
28.94%,0.417,,,
26.48%,0.414,,,
27.61%,0.406,,,
31.24%,0.422,,,
30.44%,0.392,,,
31.24%,0.371,,,
33.45%,0.402,,,
26.33%,0.428,,,
33.45%,0.377,,,
23.85%,0.404,,,
31.24%,0.384,,,
33.13%,0.398,,,
33.45%,0.4,,,
33.70%,0.418,,,
31.24%,0.414,,,
28.01%,0.393,,,
28.01%,0.375,,,
33.13%,0.398,,,
31.24%,0.397,,,
27.61%,0.39,,,
31.84%,0.357,,,
31.24%,0.374,,,
31.84%,0.356,,,
23.85%,0.405,,,
33.45%,0.369,,,
27.61%,0.378,,,
31.24%,0.344,,,
25.60%,0.412,,,
33.45%,0.353,,,
26.48%,0.36,,,
27.61%,0.442,,,
31.24%,0.391,,,
31.24%,0.351,,,
30.44%,0.425,,,
26.33%,0.401,,,
23.85%,0.398,,,
31.24%,0.384,,,
33.45%,0.358,,,
30.44%,0.346,,,
25.60%,0.373,,,
31.24%,0.4,,,
31.24%,0.397,,,
31.84%,0.343,,,
28.94%,0.361,,,
33.45%,0.384,,,
31.24%,0.384,,,
33.45%,0.355,,,
33.45%,0.389,,,
25.60%,0.418,,,
33.45%,0.446,,,
31.24%,0.478,,,
31.24%,0.423,,,
33.13%,0.423,,,
31.24%,0.447,,,
33.45%,0.434,,,
31.24%,0.44,,,
28.94%,0.405,,,
33.45%,0.407,,,
33.45%,0.378,,,
31.24%,0.397,,,
30.44%,0.414,,,
33.45%,0.372,,,
33.13%,0.448,,,
33.45%,0.352,,,
26.70%,0.433,,,
25.60%,0.564,,,
31.24%,0.413,,,
31.24%,0.467,,,
33.45%,0.426,,,
28.01%,0.422,,,
33.13%,0.399,,,
24.54%,0.384,,,
31.24%,0.455,,,
33.45%,0.436,,,
31.24%,0.403,,,
25.60%,0.44,,,
31.24%,0.372,,,
28.94%,0.389,,,
31.24%,0.402,,,
22.47%,0.404,,,
25.60%,0.439,,,
30.44%,0.414,,,
22.47%,0.48,,,
33.13%,0.402,,,
26.35%,0.422,,,
33.45%,0.396,,,
25.19%,0.426,,,
23.85%,0.416,,,
28.01%,0.397,,,
27.61%,0.399,,,
28.01%,0.365,,,
33.45%,0.355,,,
31.24%,0.418,,,
31.15%,0.433,,,
28.94%,0.425,,,
33.45%,0.389,,,
30.44%,0.468,,,
25.60%,0.437,,,
31.24%,0.385,,,
23.85%,0.4,,,
33.45%,0.357,,,
30.44%,0.379,,,
22.47%,0.412,,,
33.45%,0.368,,,
31.84%,0.352,,,
30.44%,0.356,,,
26.48%,0.412,,,
28.01%,0.372,,,
31.24%,0.385,,,
33.45%,0.434,,,
31.24%,0.404,,,
33.45%,0.336,,,
31.24%,0.358,,,
23.85%,0.426,,,
25.60%,0.358,,,
33.45%,0.347,,,
31.24%,0.368,,,
25.60%,0.393,,,
30.44%,0.415,,,
31.84%,0.364,,,
33.45%,0.382,,,
31.24%,0.385,,,
33.13%,0.39,,,
33.45%,0.383,,,
27.61%,0.388,,,
33.45%,0.353,,,
32.90%,0.322,,,
31.84%,0.355,,,
30.47%,0.325,,,
33.45%,0.353,,,
30.44%,0.4,,,
33.45%,0.364,,,
25.60%,0.353,,,
31.24%,0.348,,,
30.44%,0.373,,,
22.47%,0.374,,,
28.94%,0.378,,,
31.24%,0.362,,,
25.60%,0.376,,,
31.24%,0.388,,,
33.45%,0.352,,,
25.60%,0.389,,,
23.85%,0.397,,,
26.48%,0.428,,,
31.24%,0.369,,,
31.24%,0.384,,,
31.24%,0.427,,,
31.24%,0.374,,,
33.45%,0.357,,,
33.13%,0.365,,,
26.48%,0.391,,,
22.47%,0.368,,,
30.44%,0.409,,,
31.24%,0.359,,,
33.70%,0.363,,,
33.45%,0.35,,,
22.47%,0.381,,,
31.24%,0.367,,,
30.44%,0.342,,,
22.47%,0.428,,,
27.80%,0.37,,,
23.85%,0.391,,,
27.61%,0.379,,,
29.34%,0.377,,,
33.45%,0.363,,,
27.61%,0.376,,,
28.01%,0.369,,,
33.45%,0.368,,,
23.85%,0.406,,,
28.94%,0.375,,,
30.44%,0.382,,,
25.80%,0.401,,,
26.35%,0.366,,,
22.12%,0.399,,,
25.60%,0.401,,,
27.61%,0.402,,,
27.61%,0.385,,,
28.94%,0.385,,,
28.01%,0.379,,,
33.45%,0.369,,,
31.24%,0.375,,,
23.85%,0.384,,,
28.94%,0.376,,,
23.85%,0.402,,,
33.45%,0.385,,,
27.80%,0.395,,,
33.45%,0.369,,,
31.24%,0.369,,,
22.47%,0.46,,,
33.45%,0.376,,,
33.45%,0.351,,,
31.24%,0.376,,,
31.24%,0.387,,,
30.44%,0.394,,,
25.60%,0.435,,,
30.44%,0.362,,,
31.24%,0.373,,,
31.24%,0.367,,,
31.24%,0.369,,,
25.80%,0.394,,,
33.45%,0.371,,,
31.24%,0.393,,,
26.33%,0.391,,,
33.13%,0.396,,,
25.60%,0.424,,,
25.60%,0.379,,,
23.85%,0.413,,,
33.45%,0.334,,,
23.85%,0.388,,,
33.45%,0.329,,,
33.13%,0.366,,,
25.60%,0.414,,,
33.45%,0.359,,,
26.48%,0.396,,,
30.44%,0.364,,,
33.45%,0.384,,,
31.84%,0.352,,,
30.44%,0.411,,,
31.24%,0.377,,,
23.39%,0.415,,,
27.61%,0.404,,,
31.24%,0.388,,,
33.45%,0.349,,,
31.24%,0.368,,,
25.60%,0.426,,,
30.44%,0.349,,,
33.45%,0.361,,,
27.61%,0.373,,,
33.45%,0.366,,,
31.24%,0.403,,,
31.24%,0.385,,,
26.33%,0.397,,,
25.60%,0.452,,,
31.24%,0.373,,,
31.84%,0.364,,,
27.61%,0.389,,,
24.80%,0.458,,,
30.44%,0.347,,,
31.24%,0.379,,,
33.45%,0.384,,,
25.60%,0.371,,,
33.45%,0.353,,,
33.45%,0.352,,,
25.60%,0.427,,,
23.85%,0.398,,,
31.24%,0.381,,,
31.24%,0.386,,,
28.01%,0.382,,,
33.45%,0.376,,,
33.45%,0.379,,,
28.94%,0.375,,,
31.24%,0.386,,,
30.44%,0.375,,,
31.24%,0.374,,,
31.24%,0.36,,,
30.44%,0.39,,,
33.13%,0.349,,,
28.01%,0.37,,,
22.47%,0.438,,,
30.44%,0.385,,,
25.60%,0.378,,,
28.01%,0.377,,,
31.84%,0.335,,,
31.24%,0.374,,,
30.44%,0.335,,,
28.01%,0.379,,,
25.60%,0.446,,,
27.61%,0.39,,,
31.24%,0.36,,,
33.45%,0.354,,,
30.44%,0.377,,,
31.24%,0.374,,,
22.47%,0.391,,,
33.13%,0.354,,,
25.60%,0.418,,,
31.84%,0.344,,,
22.47%,0.392,,,
33.45%,0.342,,,
31.24%,0.371,,,
27.61%,0.402,,,
31.84%,0.343,,,
31.24%,0.35,,,
31.24%,0.384,,,
22.47%,0.399,,,
33.45%,0.354,,,
31.24%,0.378,,,
31.24%,0.383,,,
30.44%,0.392,,,
28.94%,0.369,,,
33.45%,0.359,,,
22.12%,0.383,,,
22.47%,0.38,,,
31.84%,0.334,,,
25.60%,0.388,,,
28.94%,0.367,,,
31.24%,0.373,,,
22.47%,0.369,,,
30.44%,0.403,,,
30.44%,0.369,,,
30.44%,0.39,,,
33.45%,0.35,,,
30.44%,0.345,,,
30.44%,0.361,,,
28.94%,0.356,,,
25.60%,0.39,,,
33.13%,0.384,,,
33.45%,0.374,,,
28.01%,0.377,,,
30.44%,0.351,,,
31.24%,0.377,,,
22.47%,0.466,,,
25.60%,0.442,,,
31.84%,0.35,,,
25.60%,0.402,,,
33.45%,0.375,,,
26.48%,0.42,,,
31.84%,0.347,,,
31.24%,0.348,,,
26.48%,0.386,,,
33.45%,0.337,,,
33.45%,0.37,,,
27.61%,0.392,,,
33.45%,0.347,,,
33.13%,0.364,,,
33.45%,0.382,,,
28.01%,0.39,,,
23.39%,0.41,,,
22.47%,0.387,,,
25.60%,0.426,,,
26.48%,0.407,,,
33.45%,0.333,,,
28.01%,0.368,,,
25.60%,0.42,,,
33.45%,0.364,,,
33.45%,0.37,,,
33.45%,0.356,,,
33.45%,0.351,,,
28.01%,0.369,,,
33.13%,0.369,,,
33.70%,0.388,,,
26.33%,0.379,,,
28.01%,0.378,,,
33.13%,0.4,,,
25.60%,0.392,,,
25.60%,0.43,,,
31.24%,0.385,,,
31.24%,0.378,,,
27.61%,0.395,,,
27.61%,0.375,,,
22.47%,0.387,,,
30.44%,0.349,,,
30.44%,0.393,,,
25.19%,0.374,,,
33.45%,0.362,,,
27.61%,0.385,,,
31.24%,0.349,,,
33.45%,0.337,,,
33.45%,0.342,,,
25.60%,0.406,,,
26.86%,0.403,,,
33.13%,0.39,,,
33.13%,0.373,,,
33.45%,0.343,,,
33.45%,0.349,,,
31.24%,0.362,,,
29.68%,0.348,,,
27.61%,0.371,,,
31.24%,0.379,,,
33.45%,0.335,,,
33.45%,0.362,,,
33.45%,0.36,,,
23.39%,0.387,,,
33.45%,0.35,,,
30.44%,0.371,,,
33.45%,0.358,,,
26.33%,0.397,,,
33.13%,0.388,,,
30.44%,0.363,,,
25.11%,0.381,,,
25.60%,0.379,,,
25.19%,0.37,,,
33.45%,0.343,,,
31.24%,0.369,,,
22.12%,0.387,,,
25.60%,0.431,,,
31.84%,0.384,,,
33.13%,0.349,,,
33.45%,0.343,,,
31.31%,0.417,,,
22.47%,0.443,,,
26.48%,0.414,,,
26.48%,0.393,,,
33.13%,0.359,,,
31.24%,0.382,,,
27.61%,0.369,,,
22.47%,0.429,,,
28.94%,0.364,,,
31.24%,0.348,,,
28.01%,0.363,,,
22.47%,0.455,,,
33.13%,0.378,,,
28.01%,0.378,,,
31.84%,0.355,,,
30.44%,0.357,,,
25.60%,0.389,,,
31.84%,0.369,,,
33.45%,0.37,,,
25.60%,0.436,,,
30.44%,0.382,,,
26.48%,0.39,,,
31.24%,0.4,,,
31.24%,0.357,,,
30.47%,0.328,,,
22.47%,0.389,,,
33.45%,0.354,,,
27.61%,0.381,,,
22.47%,0.378,,,
25.60%,0.42,,,
31.24%,0.351,,,
33.45%,0.339,,,
33.45%,0.35,,,
33.45%,0.396,,,
33.45%,0.37,,,
33.45%,0.377,,,
31.24%,0.379,,,
31.24%,0.368,,,
33.45%,0.365,,,
33.13%,0.387,,,
31.84%,0.348,,,
25.60%,0.423,,,
30.44%,0.376,,,
25.60%,0.382,,,
26.48%,0.387,,,
33.45%,0.345,,,
31.24%,0.345,,,
24.54%,0.398,,,
31.84%,0.351,,,
30.44%,0.39,,,
25.60%,0.396,,,
33.13%,0.352,,,
22.47%,0.461,,,
25.60%,0.393,,,
31.24%,0.362,,,
31.84%,0.34,,,
25.60%,0.387,,,
33.45%,0.355,,,
31.24%,0.391,,,
33.13%,0.374,,,
28.94%,0.357,,,
31.24%,0.4,,,
31.24%,0.38,,,
31.24%,0.385,,,
31.24%,0.372,,,
25.60%,0.428,,,
31.24%,0.362,,,
31.24%,0.349,,,
33.45%,0.371,,,
31.24%,0.369,,,
28.94%,0.361,,,
23.85%,0.397,,,
27.61%,0.376,,,
30.44%,0.365,,,
31.24%,0.37,,,
33.45%,0.338,,,
30.44%,0.404,,,
33.45%,0.377,,,
28.01%,0.386,,,
27.61%,0.393,,,
28.94%,0.374,,,
25.19%,0.39,,,
31.24%,0.37,,,
22.47%,0.397,,,
25.60%,0.425,,,
31.24%,0.361,,,
31.24%,0.386,,,
25.60%,0.385,,,
31.24%,0.38,,,
33.45%,0.364,,,
31.24%,0.364,,,
30.44%,0.41,,,
28.01%,0.369,,,
33.45%,0.372,,,
27.61%,0.399,,,
30.44%,0.394,,,
33.45%,0.372,,,
33.45%,0.355,,,
27.61%,0.386,,,
31.84%,0.354,,,
30.44%,0.391,,,
33.45%,0.363,,,
31.24%,0.378,,,
33.45%,0.374,,,
27.61%,0.39,,,
33.45%,0.344,,,
31.24%,0.376,,,
23.85%,0.448,,,
30.44%,0.38,,,
31.24%,0.367,,,
23.85%,0.38,,,
31.24%,0.357,,,
33.45%,0.357,,,
26.48%,0.387,,,
33.45%,0.339,,,
27.54%,0.453,,,
28.94%,0.362,,,
31.24%,0.357,,,
25.60%,0.415,,,
28.01%,0.356,,,
33.45%,0.333,,,
26.35%,0.364,,,
25.60%,0.442,,,
33.45%,0.378,,,
25.60%,0.435,,,
30.44%,0.39,,,
30.44%,0.39,,,
31.24%,0.378,,,
31.24%,0.365,,,
27.22%,0.398,,,
30.44%,0.359,,,
28.01%,0.379,,,
33.13%,0.382,,,
25.60%,0.436,,,
22.47%,0.461,,,
33.45%,0.379,,,
31.24%,0.376,,,
23.85%,0.445,,,
25.60%,0.408,,,
31.24%,0.411,,,
22.47%,0.464,,,
31.24%,0.363,,,
33.45%,0.381,,,
30.44%,0.387,,,
33.45%,0.349,,,
33.45%,0.371,,,
30.44%,0.349,,,
30.44%,0.345,,,
23.85%,0.443,,,
28.01%,0.369,,,
33.13%,0.372,,,
31.24%,0.352,,,
29.68%,0.382,,,
26.33%,0.402,,,
22.47%,0.449,,,
33.45%,0.364,,,
23.85%,0.447,,,
33.45%,0.343,,,
31.24%,0.362,,,
31.24%,0.362,,,
31.24%,0.366,,,
28.01%,0.359,,,
30.44%,0.393,,,
31.24%,0.401,,,
33.13%,0.391,,,
31.24%,0.381,,,
28.68%,0.429,,,
31.24%,0.383,,,
25.60%,0.444,,,
27.61%,0.407,,,
33.45%,0.368,,,
33.45%,0.36,,,
33.45%,0.377,,,
25.11%,0.413,,,
33.45%,0.358,,,
31.24%,0.392,,,
33.45%,0.334,,,
28.01%,0.365,,,
28.94%,0.334,,,
28.01%,0.361,,,
31.24%,0.337,,,
33.45%,0.346,,,
27.61%,0.396,,,
25.60%,0.389,,,
31.24%,0.384,,,
25.60%,0.445,,,
31.24%,0.38,,,
28.01%,0.387,,,
31.24%,0.352,,,
30.44%,0.506,,,
30.44%,0.409,,,
30.44%,0.399,,,
33.45%,0.387,,,
33.45%,0.37,,,
30.44%,0.394,,,
23.85%,0.418,,,
30.44%,0.364,,,
23.85%,0.416,,,
